Metric Label,Montreal,Buffalo,Players
"ES Expected Goals For",2.6697433299230116,2.2105622156955307,""
"ES Actual to Expected Goals For",0.23792039816855137,1.0201752599617626,""
"ES Expected Goals Against",2.2105622156955307,2.6697433299230116,""
"ES Actual to Expected Goals Against",1.0201752599617626,0.23792039816855137,""
"PP Expected Goals For",7.352559050568638,5.770286735204762,""
"PP Actual to Expected Goals For",8.48031615558857,-3.266461446569345,""
"SH Expected Goals Against",5.770286735204762,7.352559050568638,""
"SH Actual to Expected Goals Against",-3.266461446569345,8.48031615558857,""
"ES Shot Attempts For",50.39950462025376,60.737864542357116,""
"ES Shot Attempts Against",60.737864542357116,50.39950462025376,""
"ES% Shot Attempts On Net",0.5064102564102564,0.425531914893617,""
"ES Screened Shots On Net",5.169179961051667,6.138401203748857,""
"ES% of Shots On Net That Are Screened",0.20253164556962025,0.2375,""
"ES% Face-Offs Won Resulting in Shot On Net",0.25925925925925924,0.13793103448275862,""
"ES Goals Scored",3.553811223223021,3.230737475657293,""
"ES Shot Attempts From Slot For",23.907457319863962,22.292088582035323,""
"ES Passes to the Slot For",10.984507417234793,12.922949902629172,""
"ES Shot Attempts From Slot Off the Cycle",9.369138679406147,8.722991184274692,""
"ES Shot Attempts From Slot Off the Rush",4.846106213485938,5.492253708617398,""
"ES Odd Man Rushes",2.907663728091564,2.5845899805258337,""
"ES Shot Attempts From Slot Off the Forecheck",2.2615162329601044,2.907663728091564,""
"ES 2nd Chance (Rebound) Shot Attempts From Slot",0.9692212426971876,1.6153687378286465,""
"ES% Face-Offs Won Resulting in Shot Attempt From Slot",0.18518518518518517,0.034482758620689655,""
"ES Shot Attempts From Slot Against",22.292088582035323,23.907457319863962,""
"ES Shots On Net From Slot Against",11.630654912366255,13.246023650194898,""
"ES% of Opposition Shot Attempts Blocked",0.3617021276595745,0.3141025641025641,""
"ES Shot Attempts From Slot Off the Cycle Against",8.722991184274692,9.369138679406147,""
"ES Shot Attempts From Slot Off the Rush Against",5.492253708617398,4.846106213485938,""
"ES Shot Attempts From Slot Off the Forecheck Against",2.907663728091564,2.2615162329601044,""
"ES Odd Man Rushes Against",2.5845899805258337,2.907663728091564,""
"ES% DZ Face-Offs Lost Resulting in Shot Against",0.13793103448275862,0.25925925925925924,""
"ES% DZ Face-Offs Lost Resulting in Shot From Slot Attempt Against",0.034482758620689655,0.18518518518518517,""
"ES OZ Possession Time",308.60004367478564,446.81099288340175,""
"ES OZ Face-Offs Win%",0.4909090909090909,0.4264705882352941,""
"ES OZ Dump-In Recoveries",15.83061363072073,15.830613630720737,""
"ES% Pressure OZ Dump-Ins Without Opposition Exit on Forecheck",0.5866666666666667,0.559322033898305,""
"ES Controlled Entry Success%",0.6593406593406593,0.4444444444444444,""
"ES Forechecking Success% (Opposition Does Not Reach NZ)",0.19047619047619047,0.24170616113744076,""
"ES OZ Shot Attempts Recovered",14.215244892892084,19.06135110637803,""
"ES OZ Contested Loose Puck Recovery Win%",0.26973684210526316,0.26804123711340205,""
"ES Opposition OZ Possession Time",446.81099288340175,308.60004367478564,""
"ES% Pressure DZ Dump-In Recoveries with Clean Exit",0.7027027027027027,0.6595744680851063,""
"ES Team Entry Denial Success%",0.5547445255474452,0.34782608695652173,""
"ES DZ Contested Loose Puck Recovery Win%",0.34536082474226804,0.23684210526315788,""
"ES Forechecking Success% (Opposition Does Not Reach Your DZ)",0.3783068783068783,0.4549763033175355,""
"ES Breakout Success% (Reaches NZ)",0.6008771929824561,0.6540284360189573,""
"ES Zone Exit Success% (Reaches NZ)",0.7582938388625592,0.8095238095238095,""
"ES Successful Stretch Passes",11.630654912366252,13.892171145326362,""
"Goalie ES Save%",0.875,0.8831168831168831,""
"Goalie ES Inner Slot Save%",0.75,0.85,""
"Goalie ES No Rebound%",0.3142857142857143,0.38235294117647056,""
"Goalie SH Save%",0.9523809523809523,0.5789473684210527,""
"Goalie SH Inner Slot Save%",1,0.25,""
"PP Controlled Entry Success%",0.6976744186046512,0.7,""
"PP% OZ Zone Time",0.5508521165475531,0.713711467900628,""
"PP Passes to Slot",1.121495327102802,1.3353734872722227,""
"PP Shots On Net From Slot For",0.5937328202308952,0.9180692724996531,""
"PP Goals Scored",0.5277625068719068,0.08346084295451392,""
"PP True Shooting % (Goals/Shot Attempts)",0.25,0.021739130434782608,""
"PP OZ Face-Offs Win%",0.4782608695652174,0.6923076923076923,""
"PP% Face-Offs Won Resulting in Shot On Net",0.36363636363636365,0.2222222222222222,""
"SH Shot Attempts From Slot Against",2.0030602309083343,0.9895547003848254,""
"SH Inner Slot Shots On Net Against",0.41730421477256957,0.2638812534359534,""
"SH Goals Against",0.08346084295451392,0.5277625068719068,""
"SH Passes to the Slot Against",1.3353734872722227,1.121495327102802,""
"SH% of Opposition Shot Attempts Blocked",0.34782608695652173,0.125,""
"SH DZ Entry Denial Success%",0.3,0.3023255813953488,""
"SH% DZ Zone Time",0.7119862286886591,0.5470452147841052,""
"SH DZ Face-Offs Win%",0.3076923076923077,0.5217391304347826,""
"SH% DZ Face-Offs Won Resulting in Clean DZ Exit",0.375,0.6666666666666666,""
"Shootout Goals",0,0,""
"Shootout Success %",0,0,""
