Metric Label,Montreal,Carolina,Players
"ES Expected Goals For",2.151159425279379,2.066899689379969,""
"ES Actual to Expected Goals For",0.2232584209624085,-0.4839544585521103,""
"ES Expected Goals Against",2.066899689379969,2.151159425279379,""
"ES Actual to Expected Goals Against",-0.4839544585521103,0.2232584209624085,""
"PP Expected Goals For",1.5831012220526905,10.694028737564231,""
"PP Actual to Expected Goals For",5.924719424454096,-5.855319060144881,""
"SH Expected Goals Against",10.694028737564231,1.5831012220526905,""
"SH Actual to Expected Goals Against",-5.855319060144881,5.924719424454096,""
"ES Shot Attempts For",41.948048616938244,68.06664492559791,""
"ES Shot Attempts Against",68.06664492559791,41.948048616938244,""
"ES% Shot Attempts On Net",0.4716981132075472,0.37209302325581395,""
"ES Screened Shots On Net",3.1658904616557164,5.540308307897504,""
"ES% of Shots On Net That Are Screened",0.16,0.21875,""
"ES% Face-Offs Won Resulting in Shot On Net",0.047619047619047616,0.09090909090909091,""
"ES Goals Scored",2.770154153948752,1.978681538534823,""
"ES Shot Attempts From Slot For",19.786815385348227,25.327123693245735,""
"ES Passes to the Slot For",13.455034462036796,13.059298154329833,""
"ES Shot Attempts From Slot Off the Cycle",7.123253538725362,8.310462461846257,""
"ES Shot Attempts From Slot Off the Rush",5.936044615604469,8.310462461846257,""
"ES Odd Man Rushes",5.540308307897504,4.748835692483575,""
"ES Shot Attempts From Slot Off the Forecheck",2.3744178462417875,3.165890461655717,""
"ES 2nd Chance (Rebound) Shot Attempts From Slot",1.1872089231208938,2.3744178462417875,""
"ES% Face-Offs Won Resulting in Shot Attempt From Slot",0.14285714285714285,0.09090909090909091,""
"ES Shot Attempts From Slot Against",25.327123693245735,19.786815385348227,""
"ES Shots On Net From Slot Against",11.080616615795009,11.476352923501972,""
"ES% of Opposition Shot Attempts Blocked",0.3953488372093023,0.3018867924528302,""
"ES Shot Attempts From Slot Off the Cycle Against",8.310462461846257,7.123253538725362,""
"ES Shot Attempts From Slot Off the Rush Against",8.310462461846257,5.936044615604469,""
"ES Shot Attempts From Slot Off the Forecheck Against",3.165890461655717,2.3744178462417875,""
"ES Odd Man Rushes Against",4.748835692483575,5.540308307897504,""
"ES% DZ Face-Offs Lost Resulting in Shot Against",0.09090909090909091,0.047619047619047616,""
"ES% DZ Face-Offs Lost Resulting in Shot From Slot Attempt Against",0.09090909090909091,0.14285714285714285,""
"ES OZ Possession Time",264.8531195380166,413.18827887684273,""
"ES OZ Face-Offs Win%",0.4375,0.46808510638297873,""
"ES OZ Dump-In Recoveries",12.663561846622866,17.412397539106443,""
"ES% Pressure OZ Dump-Ins Without Opposition Exit on Forecheck",0.6,0.6779661016949152,""
"ES Controlled Entry Success%",0.5168539325842697,0.57,""
"ES Forechecking Success% (Opposition Does Not Reach NZ)",0.184375,0.23655913978494625,""
"ES OZ Shot Attempts Recovered",8.310462461846257,19.78681538534823,""
"ES OZ Contested Loose Puck Recovery Win%",0.2545454545454545,0.3005464480874317,""
"ES Opposition OZ Possession Time",413.18827887684273,264.8531195380166,""
"ES% Pressure DZ Dump-In Recoveries with Clean Exit",0.5,0.6153846153846154,""
"ES Team Entry Denial Success%",0.43,0.4835164835164835,""
"ES DZ Contested Loose Puck Recovery Win%",0.3181818181818182,0.3902439024390244,""
"ES Forechecking Success% (Opposition Does Not Reach Your DZ)",0.40625,0.47580645161290325,""
"ES Breakout Success% (Reaches NZ)",0.5445544554455446,0.6571428571428571,""
"ES Zone Exit Success% (Reaches NZ)",0.7634408602150538,0.815625,""
"ES Successful Stretch Passes",13.850770769743761,9.49767138496715,""
"Goalie ES Save%",0.9365079365079365,0.8775510204081632,""
"Goalie ES Inner Slot Save%",0.7777777777777778,0.8571428571428571,""
"Goalie ES No Rebound%",0.4576271186440678,0.3953488372093023,""
"Goalie SH Save%",0.9411764705882353,0.6,""
"Goalie SH Inner Slot Save%",1,1,""
"PP Controlled Entry Success%",0.5833333333333334,0.6153846153846154,""
"PP% OZ Zone Time",0.6012165450121659,0.7428315412186385,""
"PP Passes to Slot",0.3753910323253393,2.0967741935483852,""
"PP Shots On Net From Slot For",0.3753910323253393,1.2903225806451601,""
"PP Goals Scored",0.2502606882168929,0.16129032258064502,""
"PP True Shooting % (Goals/Shot Attempts)",0.2,0.03571428571428571,""
"PP OZ Face-Offs Win%",0.5384615384615384,0.6666666666666666,""
"PP% Face-Offs Won Resulting in Shot On Net",0,0.875,""
"SH Shot Attempts From Slot Against",2.4193548387096753,0.6256517205422323,""
"SH Inner Slot Shots On Net Against",0.32258064516129004,0.2502606882168929,""
"SH Goals Against",0.16129032258064502,0.2502606882168929,""
"SH Passes to the Slot Against",2.0967741935483852,0.3753910323253393,""
"SH% of Opposition Shot Attempts Blocked",0.21428571428571427,0.4,""
"SH DZ Entry Denial Success%",0.38461538461538464,0.4166666666666667,""
"SH% DZ Zone Time",0.7426091673447248,0.5981225233625056,""
"SH DZ Face-Offs Win%",0.3333333333333333,0.46153846153846156,""
"SH% DZ Face-Offs Won Resulting in Clean DZ Exit",0.5,0.6666666666666666,""
"Shootout Goals",0,0,""
"Shootout Success %",0,0,""
