Metric Label,Montreal,Florida,Players
"ES Expected Goals For",2.405713350095007,1.8979355080528324,""
"ES Actual to Expected Goals For",-0.16742356928678742,-0.7787906176487226,""
"ES Expected Goals Against",1.8979355080528324,2.405713350095007,""
"ES Actual to Expected Goals Against",-0.7787906176487226,-0.16742356928678742,""
"PP Expected Goals For",5.59581460391241,8.634734053193714,""
"PP Actual to Expected Goals For",8.119632206399555,-3.805112373558615,""
"SH Expected Goals Against",8.634734053193714,5.59581460391241,""
"SH Actual to Expected Goals Against",-3.805112373558615,8.119632206399555,""
"ES Shot Attempts For",43.08707828055823,65.74976231124144,""
"ES Shot Attempts Against",65.74976231124144,43.08707828055823,""
"ES% Shot Attempts On Net",0.5324675324675324,0.4723404255319149,""
"ES Screened Shots On Net",4.756365784217468,6.714869342424659,""
"ES% of Shots On Net That Are Screened",0.2073170731707317,0.21621621621621623,""
"ES% Face-Offs Won Resulting in Shot On Net",0.3888888888888889,0.24242424242424243,""
"ES Goals Scored",2.5180760034092473,1.1191448904041097,""
"ES Shot Attempts From Slot For",16.227600910859593,19.305249359470892,""
"ES Passes to the Slot For",11.1914489040411,13.989311130051371,""
"ES Shot Attempts From Slot Off the Cycle",6.7148693424246595,6.714869342424659,""
"ES Shot Attempts From Slot Off the Rush",4.756365784217468,5.875510674621576,""
"ES Odd Man Rushes",4.476579561616439,4.756365784217468,""
"ES Shot Attempts From Slot Off the Forecheck",2.797862226010275,2.2382897808082194,""
"ES 2nd Chance (Rebound) Shot Attempts From Slot",1.3989311130051374,0.8393586678030823,""
"ES% Face-Offs Won Resulting in Shot Attempt From Slot",0.2222222222222222,0.15151515151515152,""
"ES Shot Attempts From Slot Against",19.305249359470892,16.227600910859593,""
"ES Shots On Net From Slot Against",10.631876458839042,9.512731568434935,""
"ES% of Opposition Shot Attempts Blocked",0.31063829787234043,0.2727272727272727,""
"ES Shot Attempts From Slot Off the Cycle Against",6.714869342424659,6.7148693424246595,""
"ES Shot Attempts From Slot Off the Rush Against",5.875510674621576,4.756365784217468,""
"ES Shot Attempts From Slot Off the Forecheck Against",2.2382897808082194,2.797862226010275,""
"ES Odd Man Rushes Against",4.756365784217468,4.476579561616439,""
"ES% DZ Face-Offs Lost Resulting in Shot Against",0.24242424242424243,0.3888888888888889,""
"ES% DZ Face-Offs Lost Resulting in Shot From Slot Attempt Against",0.15151515151515152,0.2222222222222222,""
"ES OZ Possession Time",241.86586323116876,429.97546689325856,""
"ES OZ Face-Offs Win%",0.391304347826087,0.38372093023255816,""
"ES OZ Dump-In Recoveries",16.227600910859593,22.382897808082195,""
"ES% Pressure OZ Dump-Ins Without Opposition Exit on Forecheck",0.5853658536585366,0.6904761904761905,""
"ES Controlled Entry Success%",0.5757575757575758,0.5,""
"ES Forechecking Success% (Opposition Does Not Reach NZ)",0.18454935622317598,0.23238095238095238,""
"ES OZ Shot Attempts Recovered",9.512731568434935,17.3467458012637,""
"ES OZ Contested Loose Puck Recovery Win%",0.23870967741935484,0.26141078838174275,""
"ES Opposition OZ Possession Time",429.97546689325856,241.86586323116876,""
"ES% Pressure DZ Dump-In Recoveries with Clean Exit",0.5,0.6666666666666666,""
"ES Team Entry Denial Success%",0.5,0.42,""
"ES DZ Contested Loose Puck Recovery Win%",0.3191489361702128,0.26282051282051283,""
"ES Forechecking Success% (Opposition Does Not Reach Your DZ)",0.388412017167382,0.44571428571428573,""
"ES Breakout Success% (Reaches NZ)",0.6117216117216118,0.6947791164658634,""
"ES Zone Exit Success% (Reaches NZ)",0.7676190476190476,0.8154506437768241,""
"ES Successful Stretch Passes",15.947814688258566,10.072304013636987,""
"Goalie ES Save%",0.963963963963964,0.9012345679012346,""
"Goalie ES Inner Slot Save%",0.95,0.7222222222222222,""
"Goalie ES No Rebound%",0.4205607476635514,0.3150684931506849,""
"Goalie SH Save%",0.9090909090909091,0.7272727272727273,""
"Goalie SH Inner Slot Save%",1,0.5,""
"PP Controlled Entry Success%",0.6111111111111112,0.75,""
"PP% OZ Zone Time",0.5961986199889933,0.7008764868974158,""
"PP Passes to Slot",0.9143631206874643,2.2538234504963794,""
"PP Shots On Net From Slot For",0.45718156034373214,1.28789911456936,""
"PP Goals Scored",0.45718156034373214,0.16098738932116996,""
"PP True Shooting % (Goals/Shot Attempts)",0.15789473684210525,0.030303030303030304,""
"PP OZ Face-Offs Win%",0.4444444444444444,0.7692307692307693,""
"PP% Face-Offs Won Resulting in Shot On Net",0,0.4,""
"SH Shot Attempts From Slot Against",3.2197477864233996,1.3715446810311962,""
"SH Inner Slot Shots On Net Against",0.6439495572846798,0.3047877068958214,""
"SH Goals Against",0.16098738932116996,0.45718156034373214,""
"SH Passes to the Slot Against",2.2538234504963794,0.9143631206874643,""
"SH% of Opposition Shot Attempts Blocked",0.3333333333333333,0.2631578947368421,""
"SH DZ Entry Denial Success%",0.25,0.3888888888888889,""
"SH% DZ Zone Time",0.7008764868974162,0.5961986199889929,""
"SH DZ Face-Offs Win%",0.23076923076923078,0.5555555555555556,""
"SH% DZ Face-Offs Won Resulting in Clean DZ Exit",1,0.4,""
"Shootout Goals",0,0,""
"Shootout Success %",0,0,""
