Metric Label,Montreal,Minnesota,Players
"ES Expected Goals For",1.694270156346346,1.968438792795942,""
"ES Actual to Expected Goals For",-1.694270156346346,0.3380706895208192,""
"ES Expected Goals Against",1.968438792795942,1.694270156346346,""
"ES Actual to Expected Goals Against",0.3380706895208192,-1.694270156346346,""
"PP Expected Goals For",4.870725987403782,9.652505343495848,""
"PP Actual to Expected Goals For",-4.870725987403782,-2.1032253211275926,""
"SH Expected Goals Against",9.652505343495848,4.870725987403782,""
"SH Actual to Expected Goals Against",-2.1032253211275926,-4.870725987403782,""
"ES Shot Attempts For",52.47309072270632,51.31983598154794,""
"ES Shot Attempts Against",51.31983598154794,52.47309072270632,""
"ES% Shot Attempts On Net",0.3956043956043956,0.5617977528089888,""
"ES Screened Shots On Net",7.496155817529474,5.766273705791903,""
"ES% of Shots On Net That Are Screened",0.3611111111111111,0.2,""
"ES% Face-Offs Won Resulting in Shot On Net",0.08333333333333333,0,""
"ES Goals Scored",0,3.459764223475142,""
"ES Shot Attempts From Slot For",14.992311635058948,17.29882111737571,""
"ES Passes to the Slot For",10.379292670425427,10.379292670425425,""
"ES Shot Attempts From Slot Off the Cycle",4.613018964633523,5.766273705791903,""
"ES Shot Attempts From Slot Off the Rush",4.613018964633523,6.919528446950284,""
"ES Odd Man Rushes",4.036391594054332,4.036391594054332,""
"ES Shot Attempts From Slot Off the Forecheck",1.1532547411583807,1.1532547411583807,""
"ES 2nd Chance (Rebound) Shot Attempts From Slot",0,1.729882111737571,""
"ES% Face-Offs Won Resulting in Shot Attempt From Slot",0.08333333333333333,0,""
"ES Shot Attempts From Slot Against",17.29882111737571,14.992311635058948,""
"ES Shots On Net From Slot Against",11.532547411583806,7.496155817529474,""
"ES% of Opposition Shot Attempts Blocked",0.23595505617977527,0.3626373626373626,""
"ES Shot Attempts From Slot Off the Cycle Against",5.766273705791903,4.613018964633523,""
"ES Shot Attempts From Slot Off the Rush Against",6.919528446950284,4.613018964633523,""
"ES Shot Attempts From Slot Off the Forecheck Against",1.1532547411583807,1.1532547411583807,""
"ES Odd Man Rushes Against",4.036391594054332,4.036391594054332,""
"ES% DZ Face-Offs Lost Resulting in Shot Against",0,0.08333333333333333,""
"ES% DZ Face-Offs Lost Resulting in Shot From Slot Attempt Against",0,0.08333333333333333,""
"ES OZ Possession Time",417.05535622757645,319.6822142491015,""
"ES OZ Face-Offs Win%",0.5,0.3684210526315789,""
"ES OZ Dump-In Recoveries",19.605330599692472,13.262429523321376,""
"ES% Pressure OZ Dump-Ins Without Opposition Exit on Forecheck",0.5957446808510638,0.5882352941176471,""
"ES Controlled Entry Success%",0.6129032258064516,0.547945205479452,""
"ES Forechecking Success% (Opposition Does Not Reach NZ)",0.1762114537444934,0.13963963963963963,""
"ES OZ Shot Attempts Recovered",16.145566376217328,9.802665299846234,""
"ES OZ Contested Loose Puck Recovery Win%",0.2631578947368421,0.3424657534246575,""
"ES Opposition OZ Possession Time",319.6822142491015,417.05535622757645,""
"ES% Pressure DZ Dump-In Recoveries with Clean Exit",0.7368421052631579,0.6551724137931034,""
"ES Team Entry Denial Success%",0.4520547945205479,0.390625,""
"ES DZ Contested Loose Puck Recovery Win%",0.2716049382716049,0.3333333333333333,""
"ES Forechecking Success% (Opposition Does Not Reach Your DZ)",0.41409691629955947,0.35135135135135137,""
"ES Breakout Success% (Reaches NZ)",0.7213114754098361,0.6557377049180327,""
"ES Zone Exit Success% (Reaches NZ)",0.8603603603603603,0.8237885462555066,""
"ES Successful Stretch Passes",16.72219374679652,16.722193746796517,""
"Goalie ES Save%",0.9166666666666666,1,""
"Goalie ES Inner Slot Save%",0.625,1,""
"Goalie ES No Rebound%",0.38636363636363635,0.3055555555555556,""
"Goalie SH Save%",0.875,1,""
"Goalie SH Inner Slot Save%",1,1,""
"PP Controlled Entry Success%",0.7777777777777778,0.5714285714285714,""
"PP% OZ Zone Time",0.7229401139363638,0.6386830700405444,""
"PP Passes to Slot",1.0004168403501468,1.0065706696491008,""
"PP Shots On Net From Slot For",0.7503126302626101,1.0065706696491008,""
"PP Goals Scored",0,0.2516426674122752,""
"PP True Shooting % (Goals/Shot Attempts)",0,0.09090909090909091,""
"PP OZ Face-Offs Win%",0.5,0.2,""
"PP% Face-Offs Won Resulting in Shot On Net",0.3333333333333333,0,""
"SH Shot Attempts From Slot Against",1.509856004473651,1.7507294706127567,""
"SH Inner Slot Shots On Net Against",0.5032853348245504,0.2501042100875367,""
"SH Goals Against",0.2516426674122752,0,""
"SH Passes to the Slot Against",1.0065706696491008,1.0004168403501468,""
"SH% of Opposition Shot Attempts Blocked",0.18181818181818182,0.23076923076923078,""
"SH DZ Entry Denial Success%",0.42857142857142855,0.2222222222222222,""
"SH% DZ Zone Time",0.6386830700405438,0.7229401139363641,""
"SH DZ Face-Offs Win%",0.8,0.5,""
"SH% DZ Face-Offs Won Resulting in Clean DZ Exit",1,0.6666666666666666,""
"Shootout Goals",0,0,""
"Shootout Success %",0,0,""
