Metric Label,Montreal,Ottawa,Players
"ES Expected Goals For",2.458005468856215,2.4224681088463775,""
"ES Actual to Expected Goals For",1.1832520012003407,0.30847499369604064,""
"ES Expected Goals Against",2.4224681088463775,2.458005468856215,""
"ES Actual to Expected Goals Against",0.30847499369604064,1.1832520012003407,""
"PP Expected Goals For",9.645923399760598,6.4576113551914585,""
"PP Actual to Expected Goals For",-0.7849908139544935,-3.7241953444602736,""
"SH Expected Goals Against",6.4576113551914585,9.645923399760598,""
"SH Actual to Expected Goals Against",-3.7241953444602736,-0.7849908139544935,""
"ES Shot Attempts For",48.246661478249365,52.798233315820084,""
"ES Shot Attempts Against",52.798233315820084,48.246661478249365,""
"ES% Shot Attempts On Net",0.5157232704402516,0.5402298850574713,""
"ES Screened Shots On Net",3.03438122504713,3.0343812250471314,""
"ES% of Shots On Net That Are Screened",0.12195121951219512,0.10638297872340426,""
"ES% Face-Offs Won Resulting in Shot On Net",0.19047619047619047,0.14285714285714285,""
"ES Goals Scored",4.248133715065982,3.0343812250471314,""
"ES Shot Attempts From Slot For",20.026916085311058,17.902849227778074,""
"ES Passes to the Slot For",10.316896165160243,11.530648655179098,""
"ES Shot Attempts From Slot Off the Cycle",6.372200572598973,6.372200572598976,""
"ES Shot Attempts From Slot Off the Rush",7.585953062617825,6.9790768176084015,""
"ES Odd Man Rushes",4.85500996007541,4.248133715065982,""
"ES Shot Attempts From Slot Off the Forecheck",3.337819347551843,0.30343812250471314,""
"ES 2nd Chance (Rebound) Shot Attempts From Slot",0.910314367514139,1.8206287350282786,""
"ES% Face-Offs Won Resulting in Shot Attempt From Slot",0.09523809523809523,0.21428571428571427,""
"ES Shot Attempts From Slot Against",17.902849227778074,20.026916085311058,""
"ES Shots On Net From Slot Against",10.923772410169672,10.923772410169668,""
"ES% of Opposition Shot Attempts Blocked",0.1839080459770115,0.3018867924528302,""
"ES Shot Attempts From Slot Off the Cycle Against",6.372200572598976,6.372200572598973,""
"ES Shot Attempts From Slot Off the Rush Against",6.9790768176084015,7.585953062617825,""
"ES Shot Attempts From Slot Off the Forecheck Against",0.30343812250471314,3.337819347551843,""
"ES Odd Man Rushes Against",4.248133715065982,4.85500996007541,""
"ES% DZ Face-Offs Lost Resulting in Shot Against",0.14285714285714285,0.19047619047619047,""
"ES% DZ Face-Offs Lost Resulting in Shot From Slot Attempt Against",0.21428571428571427,0.09523809523809523,""
"ES OZ Possession Time",287.9830074651384,292.71664217621264,""
"ES OZ Face-Offs Win%",0.3620689655172414,0.4745762711864407,""
"ES OZ Dump-In Recoveries",15.475344247740363,13.047839267702663,""
"ES% Pressure OZ Dump-Ins Without Opposition Exit on Forecheck",0.5277777777777778,0.5119047619047619,""
"ES Controlled Entry Success%",0.49572649572649574,0.6097560975609756,""
"ES Forechecking Success% (Opposition Does Not Reach NZ)",0.1934156378600823,0.16560509554140126,""
"ES OZ Shot Attempts Recovered",9.710019920150815,10.316896165160246,""
"ES OZ Contested Loose Puck Recovery Win%",0.17197452229299362,0.2206896551724138,""
"ES Opposition OZ Possession Time",292.71664217621264,287.9830074651384,""
"ES% Pressure DZ Dump-In Recoveries with Clean Exit",0.6721311475409836,0.6538461538461539,""
"ES Team Entry Denial Success%",0.3870967741935484,0.5086206896551724,""
"ES DZ Contested Loose Puck Recovery Win%",0.34355828220858897,0.33125,""
"ES Forechecking Success% (Opposition Does Not Reach Your DZ)",0.4567901234567901,0.43524416135881105,""
"ES Breakout Success% (Reaches NZ)",0.6965811965811965,0.6477272727272727,""
"ES Zone Exit Success% (Reaches NZ)",0.8343949044585988,0.8065843621399177,""
"ES Successful Stretch Passes",16.992534860263927,12.744401145197951,""
"Goalie ES Save%",0.9032258064516129,0.85,""
"Goalie ES Inner Slot Save%",0.7368421052631579,0.5555555555555556,""
"Goalie ES No Rebound%",0.44047619047619047,0.47058823529411764,""
"Goalie SH Save%",0.9523809523809523,0.875,""
"Goalie SH Inner Slot Save%",1,0.7142857142857143,""
"PP Controlled Entry Success%",0.7307692307692307,0.6,""
"PP% OZ Zone Time",0.641515110077943,0.7306066664979377,""
"PP Passes to Slot",2.0675509366880913,1.1844802713168467,""
"PP Shots On Net From Slot For",1.2799124846164374,1.002252537268101,""
"PP Goals Scored",0.29536441952687015,0.09111386702437282,""
"PP True Shooting % (Goals/Shot Attempts)",0.08333333333333333,0.022222222222222223,""
"PP OZ Face-Offs Win%",0.4,0.47368421052631576,""
"PP% Face-Offs Won Resulting in Shot On Net",0.625,0.6666666666666666,""
"SH Shot Attempts From Slot Against",2.2778466756093207,2.166005743197048,""
"SH Inner Slot Shots On Net Against",0.45556933512186415,0.6891836455626971,""
"SH Goals Against",0.09111386702437282,0.29536441952687015,""
"SH Passes to the Slot Against",1.1844802713168467,2.0675509366880913,""
"SH% of Opposition Shot Attempts Blocked",0.3333333333333333,0.1388888888888889,""
"SH DZ Entry Denial Success%",0.4,0.2692307692307692,""
"SH% DZ Zone Time",0.7306066664979372,0.6415151100779429,""
"SH DZ Face-Offs Win%",0.5263157894736842,0.6,""
"SH% DZ Face-Offs Won Resulting in Clean DZ Exit",0.8,0.6666666666666666,""
"Shootout Goals",0,0,""
"Shootout Success %",0,0,""
