Metric Label,Montreal,Philadelphia,Players
"ES Expected Goals For",3.415364025431742,2.906970082944169,""
"ES Actual to Expected Goals For",0.14767276695538176,0.6560667094429558,""
"ES Expected Goals Against",2.906970082944169,3.415364025431742,""
"ES Actual to Expected Goals Against",0.6560667094429558,0.14767276695538176,""
"PP Expected Goals For",6.62939458166245,9.040568134445842,""
"PP Actual to Expected Goals For",-0.6056341934645593,-2.5476472218297426,""
"SH Expected Goals Against",9.040568134445842,6.62939458166245,""
"SH Actual to Expected Goals Against",-2.5476472218297426,-0.6056341934645593,""
"ES Shot Attempts For",55.820909747398275,58.592160585921604,""
"ES Shot Attempts Against",58.592160585921604,55.820909747398275,""
"ES% Shot Attempts On Net",0.5035460992907801,0.46621621621621623,""
"ES Screened Shots On Net",3.563036792387124,2.771250838523319,""
"ES% of Shots On Net That Are Screened",0.1267605633802817,0.10144927536231885,""
"ES% Face-Offs Won Resulting in Shot On Net",0.16666666666666666,0.391304347826087,""
"ES Goals Scored",3.563036792387124,3.5630367923871247,""
"ES Shot Attempts From Slot For",23.753578615914158,23.753578615914165,""
"ES Passes to the Slot For",16.23161205420801,14.252147169548499,""
"ES Shot Attempts From Slot Off the Cycle",8.709645492501858,7.126073584774249,""
"ES Shot Attempts From Slot Off the Rush",6.334287630910443,10.293217400229471,""
"ES Odd Man Rushes",6.334287630910444,5.542501677046637,""
"ES Shot Attempts From Slot Off the Forecheck",2.375357861591416,1.9794648846595138,""
"ES 2nd Chance (Rebound) Shot Attempts From Slot",1.5835719077276107,0.39589297693190273,""
"ES% Face-Offs Won Resulting in Shot Attempt From Slot",0.05555555555555555,0.21739130434782608,""
"ES Shot Attempts From Slot Against",23.753578615914165,23.753578615914158,""
"ES Shots On Net From Slot Against",13.06446823875279,11.876789307957079,""
"ES% of Opposition Shot Attempts Blocked",0.25,0.23404255319148937,""
"ES Shot Attempts From Slot Off the Cycle Against",7.126073584774249,8.709645492501858,""
"ES Shot Attempts From Slot Off the Rush Against",10.293217400229471,6.334287630910443,""
"ES Shot Attempts From Slot Off the Forecheck Against",1.9794648846595138,2.375357861591416,""
"ES Odd Man Rushes Against",5.542501677046637,6.334287630910444,""
"ES% DZ Face-Offs Lost Resulting in Shot Against",0.391304347826087,0.16666666666666666,""
"ES% DZ Face-Offs Lost Resulting in Shot From Slot Attempt Against",0.21739130434782608,0.05555555555555555,""
"ES OZ Possession Time",339.1219240398686,406.8988016906108,""
"ES OZ Face-Offs Win%",0.4864864864864865,0.46938775510204084,""
"ES OZ Dump-In Recoveries",14.252147169548495,8.70964549250186,""
"ES% Pressure OZ Dump-Ins Without Opposition Exit on Forecheck",0.5882352941176471,0.45,""
"ES Controlled Entry Success%",0.5783132530120482,0.48854961832061067,""
"ES Forechecking Success% (Opposition Does Not Reach NZ)",0.19345238095238096,0.1676829268292683,""
"ES OZ Shot Attempts Recovered",15.043933123412302,17.02339800807182,""
"ES OZ Contested Loose Puck Recovery Win%",0.17647058823529413,0.3333333333333333,""
"ES Opposition OZ Possession Time",406.8988016906108,339.1219240398686,""
"ES% Pressure DZ Dump-In Recoveries with Clean Exit",0.6666666666666666,0.5526315789473685,""
"ES Team Entry Denial Success%",0.5114503816793893,0.4117647058823529,""
"ES DZ Contested Loose Puck Recovery Win%",0.26717557251908397,0.3181818181818182,""
"ES Forechecking Success% (Opposition Does Not Reach Your DZ)",0.3898809523809524,0.4054878048780488,""
"ES Breakout Success% (Reaches NZ)",0.7070063694267515,0.6457142857142857,""
"ES Zone Exit Success% (Reaches NZ)",0.8323170731707317,0.8065476190476191,""
"ES Successful Stretch Passes",14.252147169548495,13.856254192616596,""
"Goalie ES Save%",0.8695652173913043,0.8732394366197183,""
"Goalie ES Inner Slot Save%",0.625,0.7142857142857143,""
"Goalie ES No Rebound%",0.4,0.3870967741935484,""
"Goalie SH Save%",0.875,0.8888888888888888,""
"Goalie SH Inner Slot Save%",1,1,""
"PP Controlled Entry Success%",0.6923076923076923,0.5909090909090909,""
"PP% OZ Zone Time",0.7109152769256518,0.63901163314997,""
"PP Passes to Slot",2.4095041552791563,1.4067995310668215,""
"PP Shots On Net From Slot For",1.0039600646996485,1.1903688339796181,""
"PP Goals Scored",0.2007920129399297,0.2164306970872033,""
"PP True Shooting % (Goals/Shot Attempts)",0.05,0.06896551724137931,""
"PP OZ Face-Offs Win%",0.5,0.8,""
"PP% Face-Offs Won Resulting in Shot On Net",0.3333333333333333,0.16666666666666666,""
"SH Shot Attempts From Slot Against",1.8396609252412282,2.4095041552791563,""
"SH Inner Slot Shots On Net Against",0.6492920912616099,0.2007920129399297,""
"SH Goals Against",0.2164306970872033,0.2007920129399297,""
"SH Passes to the Slot Against",1.4067995310668215,2.4095041552791563,""
"SH% of Opposition Shot Attempts Blocked",0.3103448275862069,0.2,""
"SH DZ Entry Denial Success%",0.4090909090909091,0.3076923076923077,""
"SH% DZ Zone Time",0.6373018798378196,0.7109152769256507,""
"SH DZ Face-Offs Win%",0.2,0.5,""
"SH% DZ Face-Offs Won Resulting in Clean DZ Exit",0.6666666666666666,0.6666666666666666,""
"Shootout Goals",0,0,""
"Shootout Success %",0,0,""
