Metric Label,Montreal,Pittsburgh,Players
"ES Expected Goals For",2.6272652155102194,3.3453704799454815,""
"ES Actual to Expected Goals For",-0.6829517921863789,1.7098444206965029,""
"ES Expected Goals Against",3.3453704799454815,2.6272652155102194,""
"ES Actual to Expected Goals Against",1.7098444206965029,-0.6829517921863789,""
"PP Expected Goals For",5.834322776457262,5.66538837381967,""
"PP Actual to Expected Goals For",-1.7939187360532314,10.92022718799244,""
"SH Expected Goals Against",5.66538837381967,5.834322776457262,""
"SH Actual to Expected Goals Against",10.92022718799244,-1.7939187360532314,""
"ES Shot Attempts For",49.38556095242556,70.77300860898777,""
"ES Shot Attempts Against",70.77300860898777,49.38556095242556,""
"ES% Shot Attempts On Net",0.5433070866141733,0.4725274725274725,""
"ES Screened Shots On Net",3.8886268466476817,3.88862684664768,""
"ES% of Shots On Net That Are Screened",0.14492753623188406,0.11627906976744186,""
"ES% Face-Offs Won Resulting in Shot On Net",0.17647058823529413,0.14285714285714285,""
"ES Goals Scored",1.9443134233238406,5.83294026997152,""
"ES Shot Attempts From Slot For",19.831996917903176,27.998113295863295,""
"ES Passes to the Slot For",17.887683494579335,15.16564470192595,""
"ES Shot Attempts From Slot Off the Cycle",8.554979062624898,9.7215671166192,""
"ES Shot Attempts From Slot Off the Rush",4.666352215977218,8.166116377960128,""
"ES Odd Man Rushes",4.2774895313124475,6.22180295463629,""
"ES Shot Attempts From Slot Off the Forecheck",3.110901477318145,3.88862684664768,""
"ES 2nd Chance (Rebound) Shot Attempts From Slot",1.1665880539943043,3.110901477318144,""
"ES% Face-Offs Won Resulting in Shot Attempt From Slot",0.29411764705882354,0.09523809523809523,""
"ES Shot Attempts From Slot Against",27.998113295863295,19.831996917903176,""
"ES Shots On Net From Slot Against",17.10995812524979,12.44360590927258,""
"ES% of Opposition Shot Attempts Blocked",0.2857142857142857,0.2755905511811024,""
"ES Shot Attempts From Slot Off the Cycle Against",9.7215671166192,8.554979062624898,""
"ES Shot Attempts From Slot Off the Rush Against",8.166116377960128,4.666352215977218,""
"ES Shot Attempts From Slot Off the Forecheck Against",3.88862684664768,3.110901477318145,""
"ES Odd Man Rushes Against",6.22180295463629,4.2774895313124475,""
"ES% DZ Face-Offs Lost Resulting in Shot Against",0.14285714285714285,0.17647058823529413,""
"ES% DZ Face-Offs Lost Resulting in Shot From Slot Attempt Against",0.09523809523809523,0.29411764705882354,""
"ES OZ Possession Time",336.4828810404218,418.4292107887785,""
"ES OZ Face-Offs Win%",0.5483870967741935,0.5833333333333334,""
"ES OZ Dump-In Recoveries",15.165644701925958,18.665408863908862,""
"ES% Pressure OZ Dump-Ins Without Opposition Exit on Forecheck",0.5857142857142857,0.5757575757575758,""
"ES Controlled Entry Success%",0.4479166666666667,0.5876288659793815,""
"ES Forechecking Success% (Opposition Does Not Reach NZ)",0.18457300275482094,0.19889502762430938,""
"ES OZ Shot Attempts Recovered",11.277017855278276,20.220859602567934,""
"ES OZ Contested Loose Puck Recovery Win%",0.31724137931034485,0.26666666666666666,""
"ES Opposition OZ Possession Time",418.4292107887785,336.4828810404218,""
"ES% Pressure DZ Dump-In Recoveries with Clean Exit",0.6363636363636364,0.6744186046511628,""
"ES Team Entry Denial Success%",0.40404040404040403,0.5510204081632653,""
"ES DZ Contested Loose Puck Recovery Win%",0.30434782608695654,0.34591194968553457,""
"ES Forechecking Success% (Opposition Does Not Reach Your DZ)",0.35537190082644626,0.3729281767955801,""
"ES Breakout Success% (Reaches NZ)",0.6354679802955665,0.6145251396648045,""
"ES Zone Exit Success% (Reaches NZ)",0.8011049723756906,0.8154269972451791,""
"ES Successful Stretch Passes",15.554507386590727,14.387919332596415,""
"Goalie ES Save%",0.8452380952380952,0.927536231884058,""
"Goalie ES Inner Slot Save%",0.7407407407407407,0.8888888888888888,""
"Goalie ES No Rebound%",0.323943661971831,0.359375,""
"Goalie SH Save%",0.6666666666666666,0.9,""
"Goalie SH Inner Slot Save%",0.5,0.5,""
"PP Controlled Entry Success%",0.7727272727272727,0.9,""
"PP% OZ Zone Time",0.5679012345679002,0.6938827745072927,""
"PP Passes to Slot",0.9427609427609406,1.4742769388277432,""
"PP Shots On Net From Slot For",1.077441077441075,0.5528538520604037,""
"PP Goals Scored",0.13468013468013437,0.5528538520604037,""
"PP True Shooting % (Goals/Shot Attempts)",0.07142857142857142,0.17647058823529413,""
"PP OZ Face-Offs Win%",0.4,0.4,""
"PP% Face-Offs Won Resulting in Shot On Net",0.25,0.75,""
"SH Shot Attempts From Slot Against",1.2899923214742752,1.481481481481478,""
"SH Inner Slot Shots On Net Against",0.3685692347069358,0.26936026936026874,""
"SH Goals Against",0.5528538520604037,0.13468013468013437,""
"SH Passes to the Slot Against",1.4742769388277432,0.9427609427609406,""
"SH% of Opposition Shot Attempts Blocked",0.17647058823529413,0.21428571428571427,""
"SH DZ Entry Denial Success%",0.1,0.22727272727272727,""
"SH% DZ Zone Time",0.6938827745072927,0.5679012345679005,""
"SH DZ Face-Offs Win%",0.6,0.6,""
"SH% DZ Face-Offs Won Resulting in Clean DZ Exit",0.3333333333333333,0.8333333333333334,""
"Shootout Goals",0,0,""
"Shootout Success %",0,0,""
