Metric Label,Montreal,San Jose,Players
"ES Expected Goals For",2.341959138928637,2.738034296138933,""
"ES Actual to Expected Goals For",-0.05089904633162416,-0.4469742035419199,""
"ES Expected Goals Against",2.738034296138933,2.341959138928637,""
"ES Actual to Expected Goals Against",-0.4469742035419199,-0.05089904633162416,""
"PP Expected Goals For",5.453694915724045,21.360344228382523,""
"PP Actual to Expected Goals For",7.188234149007323,-0.4968264074610207,""
"SH Expected Goals Against",21.360344228382523,5.453694915724045,""
"SH Actual to Expected Goals Against",-0.4968264074610207,7.188234149007323,""
"ES Shot Attempts For",57.276502314925324,66.44074268531338,""
"ES Shot Attempts Against",66.44074268531338,57.276502314925324,""
"ES% Shot Attempts On Net",0.4,0.41379310344827586,""
"ES Screened Shots On Net",4.582120185194025,2.863825115746266,""
"ES% of Shots On Net That Are Screened",0.2,0.10416666666666667,""
"ES% Face-Offs Won Resulting in Shot On Net",0.3333333333333333,0.0625,""
"ES Goals Scored",2.2910600925970126,2.291060092597013,""
"ES Shot Attempts From Slot For",24.056130972268633,29.211016180611917,""
"ES Passes to the Slot For",16.610185671328342,11.455300462985065,""
"ES Shot Attempts From Slot Off the Cycle",10.882535439835811,6.300415254641786,""
"ES Shot Attempts From Slot Off the Rush",6.873180277791039,9.737005393537306,""
"ES Odd Man Rushes",3.43659013889552,3.4365901388955193,""
"ES Shot Attempts From Slot Off the Forecheck",2.2910600925970126,1.1455300462985065,""
"ES 2nd Chance (Rebound) Shot Attempts From Slot",0.5727650231492531,2.291060092597013,""
"ES% Face-Offs Won Resulting in Shot Attempt From Slot",0.25,0.0625,""
"ES Shot Attempts From Slot Against",29.211016180611917,24.056130972268633,""
"ES Shots On Net From Slot Against",18.328480740776104,12.028065486134317,""
"ES% of Opposition Shot Attempts Blocked",0.3448275862068966,0.36,""
"ES Shot Attempts From Slot Off the Cycle Against",6.300415254641786,10.882535439835811,""
"ES Shot Attempts From Slot Off the Rush Against",9.737005393537306,6.873180277791039,""
"ES Shot Attempts From Slot Off the Forecheck Against",1.1455300462985065,2.2910600925970126,""
"ES Odd Man Rushes Against",3.4365901388955193,3.43659013889552,""
"ES% DZ Face-Offs Lost Resulting in Shot Against",0.0625,0.3333333333333333,""
"ES% DZ Face-Offs Lost Resulting in Shot From Slot Attempt Against",0.0625,0.25,""
"ES OZ Possession Time",313.01608515106557,335.2393680492552,""
"ES OZ Face-Offs Win%",0.46153846153846156,0.45714285714285713,""
"ES OZ Dump-In Recoveries",19.474010787074608,14.891890601880585,""
"ES% Pressure OZ Dump-Ins Without Opposition Exit on Forecheck",0.5526315789473685,0.5609756097560976,""
"ES Controlled Entry Success%",0.5901639344262295,0.5633802816901409,""
"ES Forechecking Success% (Opposition Does Not Reach NZ)",0.16733067729083664,0.21138211382113822,""
"ES OZ Shot Attempts Recovered",14.319125578731331,15.464655625029838,""
"ES OZ Contested Loose Puck Recovery Win%",0.18518518518518517,0.2777777777777778,""
"ES Opposition OZ Possession Time",335.2393680492552,313.01608515106557,""
"ES% Pressure DZ Dump-In Recoveries with Clean Exit",0.6,0.6538461538461539,""
"ES Team Entry Denial Success%",0.4444444444444444,0.4032258064516129,""
"ES DZ Contested Loose Puck Recovery Win%",0.3111111111111111,0.375,""
"ES Forechecking Success% (Opposition Does Not Reach Your DZ)",0.42231075697211157,0.4105691056910569,""
"ES Breakout Success% (Reaches NZ)",0.631578947368421,0.626984126984127,""
"ES Zone Exit Success% (Reaches NZ)",0.7886178861788617,0.8326693227091634,""
"ES Successful Stretch Passes",16.03742064817909,14.891890601880585,""
"Goalie ES Save%",0.9166666666666666,0.9,""
"Goalie ES Inner Slot Save%",0.8461538461538461,0.875,""
"Goalie ES No Rebound%",0.3409090909090909,0.3611111111111111,""
"Goalie SH Save%",0.6666666666666666,0.75,""
"Goalie SH Inner Slot Save%",0.5,0.5,""
"PP Controlled Entry Success%",0.5454545454545454,0.5714285714285714,""
"PP% OZ Zone Time",0.6720707011588413,0.6310248237225942,""
"PP Passes to Slot",3.160482266182842,2.781802376122867,""
"PP Shots On Net From Slot For",0.8427952709820913,1.738626485076792,""
"PP Goals Scored",0.42139763549104564,0.6954505940307167,""
"PP True Shooting % (Goals/Shot Attempts)",0.13333333333333333,0.18181818181818182,""
"PP OZ Face-Offs Win%",0.6666666666666666,0.5714285714285714,""
"PP% Face-Offs Won Resulting in Shot On Net",0.5,0.25,""
"SH Shot Attempts From Slot Against",2.434077079107509,1.6855905419641826,""
"SH Inner Slot Shots On Net Against",1.3909011880614337,0.42139763549104564,""
"SH Goals Against",0.6954505940307167,0.42139763549104564,""
"SH Passes to the Slot Against",2.781802376122867,3.160482266182842,""
"SH% of Opposition Shot Attempts Blocked",0.2727272727272727,0.3333333333333333,""
"SH DZ Entry Denial Success%",0.42857142857142855,0.45454545454545453,""
"SH% DZ Zone Time",0.6310248237225938,0.672070701158841,""
"SH DZ Face-Offs Win%",0.42857142857142855,0.3333333333333333,""
"SH% DZ Face-Offs Won Resulting in Clean DZ Exit",0.6666666666666666,0.6666666666666666,""
"Shootout Goals",0,0,""
"Shootout Success %",0,0,""
