Metric Label,Montreal,Seattle,Players
"ES Expected Goals For",2.92367594361145,3.319199758799013,""
"ES Actual to Expected Goals For",0.09279735222079023,0.903862855366122,""
"ES Expected Goals Against",3.319199758799013,2.92367594361145,""
"ES Actual to Expected Goals Against",0.903862855366122,0.09279735222079023,""
"PP Expected Goals For",10.84648431980444,14.812115404934088,""
"PP Actual to Expected Goals For",-5.367032265009932,16.45054886878788,""
"SH Expected Goals Against",14.812115404934088,10.84648431980444,""
"SH Actual to Expected Goals Against",16.45054886878788,-5.367032265009932,""
"ES Shot Attempts For",58.51958193914546,60.93276057581124,""
"ES Shot Attempts Against",60.93276057581124,58.51958193914546,""
"ES% Shot Attempts On Net",0.4948453608247423,0.46534653465346537,""
"ES Screened Shots On Net",4.826357273331584,5.429651932498031,""
"ES% of Shots On Net That Are Screened",0.16666666666666666,0.19148936170212766,""
"ES% Face-Offs Won Resulting in Shot On Net",0.15384615384615385,0.11764705882352941,""
"ES Goals Scored",3.01647329583224,4.223062614165135,""
"ES Shot Attempts From Slot For",22.925197048325025,27.148259662490155,""
"ES Passes to the Slot For",13.875777160828305,16.288955797494094,""
"ES Shot Attempts From Slot Off the Cycle",6.6362412508309285,9.049419887496718,""
"ES Shot Attempts From Slot Off the Rush",7.842830569163825,9.652714546663166,""
"ES Odd Man Rushes",4.223062614165135,7.842830569163825,""
"ES Shot Attempts From Slot Off the Forecheck",0.603294659166448,3.0164732958322396,""
"ES 2nd Chance (Rebound) Shot Attempts From Slot",1.809883977499344,2.4131786366657915,""
"ES% Face-Offs Won Resulting in Shot Attempt From Slot",0.15384615384615385,0.29411764705882354,""
"ES Shot Attempts From Slot Against",27.148259662490155,22.925197048325025,""
"ES Shots On Net From Slot Against",14.479071819994749,13.875777160828305,""
"ES% of Opposition Shot Attempts Blocked",0.32673267326732675,0.26804123711340205,""
"ES Shot Attempts From Slot Off the Cycle Against",9.049419887496718,6.6362412508309285,""
"ES Shot Attempts From Slot Off the Rush Against",9.652714546663166,7.842830569163825,""
"ES Shot Attempts From Slot Off the Forecheck Against",3.0164732958322396,0.603294659166448,""
"ES Odd Man Rushes Against",7.842830569163825,4.223062614165135,""
"ES% DZ Face-Offs Lost Resulting in Shot Against",0.11764705882352941,0.15384615384615385,""
"ES% DZ Face-Offs Lost Resulting in Shot From Slot Attempt Against",0.29411764705882354,0.15384615384615385,""
"ES OZ Possession Time",375.5911449750599,404.58950825899217,""
"ES OZ Face-Offs Win%",0.5,0.5483870967741935,""
"ES OZ Dump-In Recoveries",15.68566113832765,13.272482501661854,""
"ES% Pressure OZ Dump-Ins Without Opposition Exit on Forecheck",0.5151515151515151,0.5,""
"ES Controlled Entry Success%",0.5483870967741935,0.5256410256410257,""
"ES Forechecking Success% (Opposition Does Not Reach NZ)",0.16216216216216217,0.2222222222222222,""
"ES OZ Shot Attempts Recovered",16.892250456660545,18.702134434159884,""
"ES OZ Contested Loose Puck Recovery Win%",0.3333333333333333,0.35714285714285715,""
"ES Opposition OZ Possession Time",404.58950825899217,375.5911449750599,""
"ES% Pressure DZ Dump-In Recoveries with Clean Exit",0.6956521739130435,0.6666666666666666,""
"ES Team Entry Denial Success%",0.47435897435897434,0.4603174603174603,""
"ES DZ Contested Loose Puck Recovery Win%",0.1643835616438356,0.23076923076923078,""
"ES Forechecking Success% (Opposition Does Not Reach Your DZ)",0.36036036036036034,0.4027777777777778,""
"ES Breakout Success% (Reaches NZ)",0.5897435897435898,0.6086956521739131,""
"ES Zone Exit Success% (Reaches NZ)",0.7777777777777778,0.8378378378378378,""
"ES Successful Stretch Passes",16.892250456660545,16.288955797494094,""
"Goalie ES Save%",0.851063829787234,0.8958333333333334,""
"Goalie ES Inner Slot Save%",0.6666666666666666,0.75,""
"Goalie ES No Rebound%",0.375,0.32558139534883723,""
"Goalie SH Save%",0.5454545454545454,0.9166666666666666,""
"Goalie SH Inner Slot Save%",0.5,1,""
"PP Controlled Entry Success%",0.42857142857142855,0.8,""
"PP% OZ Zone Time",0.6653475393201427,0.6821600846330776,""
"PP Passes to Slot",1.2785388127853852,1.2505065709488787,""
"PP Shots On Net From Slot For",1.2785388127853852,1.4589243327736918,""
"PP Goals Scored",0.1826484018264836,1.0420888091240657,""
"PP True Shooting % (Goals/Shot Attempts)",0.045454545454545456,0.3333333333333333,""
"PP OZ Face-Offs Win%",0.5555555555555556,0.5454545454545454,""
"PP% Face-Offs Won Resulting in Shot On Net",0.6,0.5,""
"SH Shot Attempts From Slot Against",1.875759856423318,2.3744292237442868,""
"SH Inner Slot Shots On Net Against",1.2505065709488787,0.9132420091324179,""
"SH Goals Against",1.0420888091240657,0.1826484018264836,""
"SH Passes to the Slot Against",1.2505065709488787,1.2785388127853852,""
"SH% of Opposition Shot Attempts Blocked",0.13333333333333333,0.18181818181818182,""
"SH DZ Entry Denial Success%",0.2,0.5714285714285714,""
"SH% DZ Zone Time",0.6817863805970137,0.6653475393201421,""
"SH DZ Face-Offs Win%",0.45454545454545453,0.4444444444444444,""
"SH% DZ Face-Offs Won Resulting in Clean DZ Exit",0.2,1,""
"Shootout Goals",0,0,""
"Shootout Success %",0,0,""
