Metric Label,Montreal,Toronto,Players
"ES Expected Goals For",2.096179145777916,2.2825779287702077,""
"ES Actual to Expected Goals For",-1.4786710767199305,-1.047561790654236,""
"ES Expected Goals Against",2.2825779287702077,2.096179145777916,""
"ES Actual to Expected Goals Against",-1.047561790654236,-1.4786710767199305,""
"PP Expected Goals For",8.137749259840868,9.856508766164575,""
"PP Actual to Expected Goals For",0.4074559305800526,-0.10173299052442028,""
"SH Expected Goals Against",9.856508766164575,8.137749259840868,""
"SH Actual to Expected Goals Against",-0.10173299052442028,0.4074559305800526,""
"ES Shot Attempts For",58.972020595037634,60.5157907676826,""
"ES Shot Attempts Against",60.5157907676826,58.972020595037634,""
"ES% Shot Attempts On Net",0.4397905759162304,0.5510204081632653,""
"ES Screened Shots On Net",2.778786310760936,4.013802448876907,""
"ES% of Shots On Net That Are Screened",0.10714285714285714,0.12037037037037036,""
"ES% Face-Offs Won Resulting in Shot On Net",0.13043478260869565,0.2,""
"ES Goals Scored",0.6175080690579857,1.2350161381159717,""
"ES Shot Attempts From Slot For",23.156552589674465,23.46530662420346,""
"ES Passes to the Slot For",16.05520979550763,16.363963830036624,""
"ES Shot Attempts From Slot Off the Cycle",8.027604897753815,8.645112966811801,""
"ES Shot Attempts From Slot Off the Rush",5.557572621521872,5.248818586992879,""
"ES Odd Man Rushes",5.866326656050865,1.8525242071739572,""
"ES Shot Attempts From Slot Off the Forecheck",4.013802448876907,3.396294379818922,""
"ES 2nd Chance (Rebound) Shot Attempts From Slot",1.2350161381159714,2.470032276231943,""
"ES% Face-Offs Won Resulting in Shot Attempt From Slot",0.043478260869565216,0.2,""
"ES Shot Attempts From Slot Against",23.46530662420346,23.156552589674465,""
"ES Shots On Net From Slot Against",13.585177519275687,11.115145243043743,""
"ES% of Opposition Shot Attempts Blocked",0.20408163265306123,0.3089005235602094,""
"ES Shot Attempts From Slot Off the Cycle Against",8.645112966811801,8.027604897753815,""
"ES Shot Attempts From Slot Off the Rush Against",5.248818586992879,5.557572621521872,""
"ES Shot Attempts From Slot Off the Forecheck Against",3.396294379818922,4.013802448876907,""
"ES Odd Man Rushes Against",1.8525242071739572,5.866326656050865,""
"ES% DZ Face-Offs Lost Resulting in Shot Against",0.2,0.13043478260869565,""
"ES% DZ Face-Offs Lost Resulting in Shot From Slot Attempt Against",0.2,0.043478260869565216,""
"ES OZ Possession Time",362.61102995200105,357.58863099032715,""
"ES OZ Face-Offs Win%",0.4339622641509434,0.5,""
"ES OZ Dump-In Recoveries",18.525242071739573,15.12894769192065,""
"ES% Pressure OZ Dump-Ins Without Opposition Exit on Forecheck",0.6451612903225806,0.6388888888888888,""
"ES Controlled Entry Success%",0.48,0.453781512605042,""
"ES Forechecking Success% (Opposition Does Not Reach NZ)",0.20449438202247192,0.19550561797752808,""
"ES OZ Shot Attempts Recovered",17.2902259336236,12.350161381159715,""
"ES OZ Contested Loose Puck Recovery Win%",0.2375,0.22727272727272727,""
"ES Opposition OZ Possession Time",357.58863099032715,362.61102995200105,""
"ES% Pressure DZ Dump-In Recoveries with Clean Exit",0.5098039215686274,0.5238095238095238,""
"ES Team Entry Denial Success%",0.55,0.5196850393700787,""
"ES DZ Contested Loose Puck Recovery Win%",0.25203252032520324,0.28368794326241137,""
"ES Forechecking Success% (Opposition Does Not Reach Your DZ)",0.4044943820224719,0.4314606741573034,""
"ES Breakout Success% (Reaches NZ)",0.6337448559670782,0.6437246963562753,""
"ES Zone Exit Success% (Reaches NZ)",0.8044943820224719,0.7955056179775281,""
"ES Successful Stretch Passes",16.672717864565616,16.05520979550763,""
"Goalie ES Save%",0.9629629629629629,0.9761904761904762,""
"Goalie ES Inner Slot Save%",0.9090909090909091,0.9090909090909091,""
"Goalie ES No Rebound%",0.25961538461538464,0.35365853658536583,""
"Goalie SH Save%",0.8666666666666667,0.8235294117647058,""
"Goalie SH Inner Slot Save%",0.6666666666666666,0.8333333333333334,""
"PP Controlled Entry Success%",0.5625,0.717948717948718,""
"PP% OZ Zone Time",0.6602753455005804,0.6628279817549548,""
"PP Passes to Slot",1.6140943137461738,1.7883755588673618,""
"PP Shots On Net From Slot For",1.3292541407321432,1.5445061644763578,""
"PP Goals Scored",0.2848401730140307,0.3251591925213385,""
"PP True Shooting % (Goals/Shot Attempts)",0.10714285714285714,0.0851063829787234,""
"PP OZ Face-Offs Win%",0.5294117647058824,0.625,""
"PP% Face-Offs Won Resulting in Shot On Net",0.3333333333333333,0.3333333333333333,""
"SH Shot Attempts From Slot Against",2.2761143476493695,1.9938812110982147,""
"SH Inner Slot Shots On Net Against",0.7316081831730117,0.5696803460280614,""
"SH Goals Against",0.3251591925213385,0.2848401730140307,""
"SH Passes to the Slot Against",1.7883755588673618,1.6140943137461738,""
"SH% of Opposition Shot Attempts Blocked",0.2127659574468085,0.25,""
"SH DZ Entry Denial Success%",0.28205128205128205,0.4375,""
"SH% DZ Zone Time",0.6620159530643089,0.6574613440699018,""
"SH DZ Face-Offs Win%",0.375,0.47058823529411764,""
"SH% DZ Face-Offs Won Resulting in Clean DZ Exit",0.6666666666666666,0.875,""
"Shootout Goals",0,0,""
"Shootout Success %",0,0,""
