Metric Label,Montreal,Winnipeg,Players
"ES Expected Goals For",2.565334441823845,2.137655489599861,""
"ES Actual to Expected Goals For",-0.7647042212466427,0.2631848045030724,""
"ES Expected Goals Against",2.137655489599861,2.565334441823845,""
"ES Actual to Expected Goals Against",0.2631848045030724,-0.7647042212466427,""
"PP Expected Goals For",9.517294472380248,8.394025157853768,""
"PP Actual to Expected Goals For",-9.517294472380248,0.25670174350392516,""
"SH Expected Goals Against",8.394025157853768,9.517294472380248,""
"SH Actual to Expected Goals Against",0.25670174350392516,-9.517294472380248,""
"ES Shot Attempts For",58.82058720552194,54.61911669084174,""
"ES Shot Attempts Against",54.61911669084174,58.82058720552194,""
"ES% Shot Attempts On Net",0.5102040816326531,0.5604395604395604,""
"ES Screened Shots On Net",6.002100735257341,5.401890661731601,""
"ES% of Shots On Net That Are Screened",0.2,0.17647058823529413,""
"ES% Face-Offs Won Resulting in Shot On Net",0.3076923076923077,0.18181818181818182,""
"ES Goals Scored",1.8006302205772022,3.601260441154401,""
"ES Shot Attempts From Slot For",28.810083529235236,24.608613014555072,""
"ES Passes to the Slot For",15.605461911669085,11.403991396988935,""
"ES Shot Attempts From Slot Off the Cycle",13.204621617566149,8.402941029360267,""
"ES Shot Attempts From Slot Off the Rush",6.602310808783074,8.402941029360267,""
"ES Odd Man Rushes",2.4008402941029336,5.401890661731606,""
"ES Shot Attempts From Slot Off the Forecheck",3.6012604411544045,1.8006302205772002,""
"ES 2nd Chance (Rebound) Shot Attempts From Slot",1.2004201470514682,3.0010503676286673,""
"ES% Face-Offs Won Resulting in Shot Attempt From Slot",0.23076923076923078,0.09090909090909091,""
"ES Shot Attempts From Slot Against",24.608613014555072,28.810083529235236,""
"ES Shots On Net From Slot Against",13.80483169109187,13.804831691091882,""
"ES% of Opposition Shot Attempts Blocked",0.21978021978021978,0.35714285714285715,""
"ES Shot Attempts From Slot Off the Cycle Against",8.402941029360267,13.204621617566149,""
"ES Shot Attempts From Slot Off the Rush Against",8.402941029360267,6.602310808783074,""
"ES Shot Attempts From Slot Off the Forecheck Against",1.8006302205772002,3.6012604411544045,""
"ES Odd Man Rushes Against",5.401890661731606,2.4008402941029336,""
"ES% DZ Face-Offs Lost Resulting in Shot Against",0.18181818181818182,0.3076923076923077,""
"ES% DZ Face-Offs Lost Resulting in Shot From Slot Attempt Against",0.09090909090909091,0.23076923076923078,""
"ES OZ Possession Time",414.4250487670673,348.2218776571787,""
"ES OZ Face-Offs Win%",0.3939393939393939,0.4782608695652174,""
"ES OZ Dump-In Recoveries",16.805882058720552,17.40609213224627,""
"ES% Pressure OZ Dump-Ins Without Opposition Exit on Forecheck",0.5306122448979592,0.6428571428571429,""
"ES Controlled Entry Success%",0.5737704918032787,0.6153846153846154,""
"ES Forechecking Success% (Opposition Does Not Reach NZ)",0.2697095435684647,0.17766497461928935,""
"ES OZ Shot Attempts Recovered",13.204621617566149,13.204621617566136,""
"ES OZ Contested Loose Puck Recovery Win%",0.288,0.4024390243902439,""
"ES Opposition OZ Possession Time",348.2218776571787,414.4250487670673,""
"ES% Pressure DZ Dump-In Recoveries with Clean Exit",0.625,0.71875,""
"ES Team Entry Denial Success%",0.37254901960784315,0.4098360655737705,""
"ES DZ Contested Loose Puck Recovery Win%",0.27956989247311825,0.30973451327433627,""
"ES Forechecking Success% (Opposition Does Not Reach Your DZ)",0.4854771784232365,0.38578680203045684,""
"ES Breakout Success% (Reaches NZ)",0.6372549019607843,0.583941605839416,""
"ES Zone Exit Success% (Reaches NZ)",0.8223350253807107,0.7302904564315352,""
"ES Successful Stretch Passes",15.605461911669085,13.204621617566136,""
"Goalie ES Save%",0.9183673469387755,0.94,""
"Goalie ES Inner Slot Save%",0.7272727272727273,0.9,""
"Goalie ES No Rebound%",0.4,0.3617021276595745,""
"Goalie SH Save%",0.7777777777777778,1,""
"Goalie SH Inner Slot Save%",0.6666666666666666,1,""
"PP Controlled Entry Success%",0.4,0.7,""
"PP% OZ Zone Time",0.7699936885763231,0.6140013616884936,""
"PP Passes to Slot",0.6491750067622428,1.5859665985822438,""
"PP Shots On Net From Slot For",1.622937516905607,1.0092514718250643,""
"PP Goals Scored",0,0.28835756337858975,""
"PP True Shooting % (Goals/Shot Attempts)",0,0.10526315789473684,""
"PP OZ Face-Offs Win%",0.75,0.45454545454545453,""
"PP% Face-Offs Won Resulting in Shot On Net",0.3333333333333333,0.2,""
"SH Shot Attempts From Slot Against",1.8743241619608335,1.9475250202867285,""
"SH Inner Slot Shots On Net Against",0.4325363450678847,0.6491750067622428,""
"SH Goals Against",0.28835756337858975,0,""
"SH Passes to the Slot Against",1.5859665985822438,0.6491750067622428,""
"SH% of Opposition Shot Attempts Blocked",0.3157894736842105,0.09090909090909091,""
"SH DZ Entry Denial Success%",0.3,0.6,""
"SH% DZ Zone Time",0.6099117625371755,0.7694056392769408,""
"SH DZ Face-Offs Win%",0.5454545454545454,0.25,""
"SH% DZ Face-Offs Won Resulting in Clean DZ Exit",0.6666666666666666,1,""
"Shootout Goals",0,0,""
"Shootout Success %",0,0,""
